false_rate,path_0,path_1,path_2,path_3,r1,r5
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_random,RN50x16log.txt, 37.54, 69.04
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_random,RN50log.txt, 36.9, 65.18
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_random,RN50x4log.txt, 36.26, 67.52
x,clip_resnet,i2t,new_wsl_noun_big_sim_bert_random,RN50x64log.txt, 43.5, 73.68
x,clip_resnet,i2t,new_noun_big_sim_bert_up,RN50x16log.txt, 38.4, 69.64
x,clip_resnet,i2t,new_noun_big_sim_bert_up,RN50log.txt, 37.7, 66.04
x,clip_resnet,i2t,new_noun_big_sim_bert_up,RN50x4log.txt, 37.18, 67.84
x,clip_resnet,i2t,new_noun_big_sim_bert_up,RN50x64log.txt, 44.1, 73.94
x,clip_resnet,i2t,new_noun_big_sim_bert_random,RN50x16log.txt, 37.12, 68.66
x,clip_resnet,i2t,new_noun_big_sim_bert_random,RN50log.txt, 36.84, 65.22
x,clip_resnet,i2t,new_noun_big_sim_bert_random,RN50x4log.txt, 35.38, 67.48
x,clip_resnet,i2t,new_noun_big_sim_bert_random,RN50x64log.txt, 42.92, 73.46
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_random,RN50x16log.txt, 39.72, 69.58
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_random,RN50log.txt, 38.5, 65.8
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_random,RN50x4log.txt, 37.96, 67.7
x,clip_resnet,i2t,new_clip_noun_big_sim_bert_random,RN50x64log.txt, 45.04, 74.18
x,clip_resnet,i2t,new_noun_big_sim_youtube,RN50x16log.txt, 42.98, 72.84
x,clip_resnet,i2t,new_noun_big_sim_youtube,RN50log.txt, 43.1, 69.9
x,clip_resnet,i2t,new_noun_big_sim_youtube,RN50x4log.txt, 42.34, 71.02
x,clip_resnet,i2t,new_noun_big_sim_youtube,RN50x64log.txt, 51.46, 77.9
 12.60295881647341,vse_infty,t2i_seed10,cutmix_0.7,butd_gridlog.txt, 40.00799680127949, 68.95241903238704
 13.574570171931228,vse_infty,t2i_seed10,cutmix_0.7,butd_regionlog.txt, 38.220711715313875, 67.32506997201119
 7.760895641743303,vse_infty,t2i_seed10,cutmix_0.7,wsl_gridlog.txt, 48.35665733706517, 75.53378648540584
 9.236305477808877,vse_infty,t2i_seed10,mixup_0.6,butd_gridlog.txt, 41.23550579768093, 70.25189924030389
 7.197121151539384,vse_infty,t2i_seed10,mixup_0.6,butd_regionlog.txt, 40.363854458216714, 69.53218712514995
 9.436225509796081,vse_infty,t2i_seed10,mixup_0.6,wsl_gridlog.txt, 47.76489404238305, 75.8296681327469
 36.66133546581367,vse_infty,t2i_seed10,mixup_0.9,butd_gridlog.txt, 30.263894442223112, 63.38264694122351
